Grant Date,Grantor,Grantee,Project Information,GitHub/Source Code,Contribution,Amount
2021/03,OKCoin,Antoine Riard,Why we may fail lightning,ariard,Bitcoin and Lightning development,-
2021/03,HRF,Jesse Posner,Discreet Log Contracts,-,DLC’s and adapter signatures,"$25,000"
2021/03,HRF,Muun Wallet,Muun Wallet,Bitcoin & Lightning wallet,making self-custody easier,"$25,000"
2021/03,HRF,Janine,This Month in Bitcoin Privacy,Enegnei,Bitcoin privacy newsletter,"$10,000"
2021/03,HRF,Blockchain Commons,Research,BlockchainCommons,Bitcoin Internships,"$10,000"
2021/03,zkSNACKs & Bull Bitcoin,Bitcoin Knots,Bitcoin Node and Wallet,-,Bitcoin full node software,0.86 BTC
2021/02,Jack Dorsey and Jay-Z,New Development Fund for Africa and India,,-,-,500 BTC
2021/02,BitMEX,Michael Ford,,fanquake,Bitcoin Core,"$100,000"
2021/01,Marathon,Jonas Schnelli,Bitcoin Core,jonasschnelli,Bitcoin Core,"$96,000"
2021/01,HRF,Ben Kaufman,Specter Wallet,ben-kaufman,Bitcoin wallet development,"$25,000"
2021/01,HRF,Global Mesh Labs,Global Mesh Labs,global-mesh-labs,mesh networks,"$25,000"
2020/12,Coinbase,João Barbosa,Bitcoin Core,promag,Bitcoin mobile development and code review,-
2020/12,Square Cyrpto,Patrícia Estevão,Bitcoin UX Proposal,patestevao,Bitcoin UX development,-
2020/10,Square Cyrpto,Riccardo Casatta,Bitcoin Deve Kit,firma,Bitcoin Development Kit,-
2020/09,John Pfeffer,Antoine Riard,Why we may fail lightning,ariard,Bitcoin and Lightning development,-
2020/08,Square Crypto,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin payments processing,"$100,000"
2020/08,Square Crypto,Daniel Nordh,Bitcoin Design Guide,danielnordh,UX improvements for Bitcoin,-
2020/08,Square Crypto,Johns Beharry,Consistent Push & Pull Payments on and off-chain,peakshift,"account-identification, payment-requests, invoices, transactions, psbt",-
2020/08,BitMEX1,Calvin Kim,Utreexo,kcalvinalvin,Accumulator for Bitcoin UTXO set,"$40,000"
2020/08,OKCoin2,Marco Falke,Bitcoin Core,MarcoFalke,Bitcoin testing framework,"+/- $100,000"
2020/08,Human Rights Foundation,openoms,JoinInbox,openoms,Bitcoin Market GUI,1 BTC
2020/08,Human Rights Foundation,Fontaine,Fully Noded,Fonta1n3,Bitcoin Core Client for iOS,1 BTC
2020/08,Human Rights Foundation,Evan Kaloudis,Zeus,kaloudis,Lightning Node Client,1 BTC
2020/08,Square Crypto,Lloyd Fournier,secp256kFUN!,LLFourn,Bitcoin,-
2020/07,Square Crypto,Thorbjoern Koenig,A Human-first angle on Private Key Management,Design and UX,Bitcoin UX,-
2020/07,BitMEX1,Jeremy Rubin,BIP 119,jeremyrubin,Bitcoin,"$50,000"
2020/07,Paradigm,Anthony Towns,Bitcoin,ajtowns,Bitcoin,-
2020/07,Square Crypto,Steve Myers,Development of Bitcoin Developer Kit (BDK),BitcoinDevKit,Bitcoin,-
2020/07,Square Crypto,Christoph Ono,,GBKS,Bitcoin Design,-
2020/06,Square Crypto,Vasil Dimov,P2P and Privacy on Bitcoin,vasild,Bitcoin Core and LN,-
2020/06,Square Crypto,Chris Belcher,CoinSwap,chris-belcher,"Bitcoin, CoinSwap",-
2020/06,Square Crypto,Sergi Delgado,Talaia Labs - Lightning Watchtowers,talaia-labs,"Bitcoin, Lightning",-
2020/06,Human Rights Foundation,Chris Belcher,CoinSwap,chris-belcher,"Bitcoin, CoinSwap",-
2020/06,Kraken,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin,-
2020/06,Square Crypto,Ken Sedgwick,Lightning Signer,Lightning Signer,"Bitcoin, Lightning",-
2020/06,OKCoin2 & BitMEX1,Amiti Uttarwar,,amitiuttarwar,Bitcoin,"$150,000"
2020/06,BitMEX1,Gleb Naumenko,BIP 330,naumenkogs,Bitcoin,"$100,000"
2020/05,OKCoin2,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin,"$100,000"
2020/05,BTSE,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin,"$80,000"
2020/05,OKCoin2,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin,"$100,000"
2020/03,Square Crypto,Tankred Hase,Bitcoin Core,tanx,Bitcoin,-
2020/03,Square Crypto,Jon Atack,Bitcoin Core,jonatack,Bitcoin,-
2020/03,BitMEX1,Michael Ford,,fanquake,Bitcoin Core,"$100,000"
2020/03,BitMEX1,MIT Digital Currency Initiative,The Digital Currency Initiative is a research community at the MIT Media Lab focused on cryptocurrency and blockchain technology.,mit-dci,Bitcoin,"$250,000"
2019/12,Square Crypto,ZmnSCPxj,Lightning,ZmnSCPxj,"Bitcoin, Lightning",-
2019/12,OKCoin2,Fabian Jahr,,fjahr,Bitcoin,-
2019/11,Digital Garage Inc.,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin,"$30,000"
2019/09,Square Crypto,BTCPay Server,BTCPay Server,btcpayserver,Bitcoin,"$100,000"
2019/07,BitMEX1,Michael Ford,,fanquake,Bitcoin,"$60,000"
2019/05,BitMEX1,MIT Digital Currency Initiative,The Digital Currency Initiative is a research community at the MIT Media Lab focused on cryptocurrency and blockchain technology.,mit-dci,Bitcoin,"$250,000"
2018/12,Hardcore Fund,Ben Woosley,Bitcoin Core,Empact,Bitcoin,-
2018/10,Hardcore Fund,Luke Dash Jr.,Bitcoin Core,luke-jr,Bitcoin,-
